name,company,place,salary,post_time
Senior Python Developer,平纳科（上海）信息咨询有限公司,上海-浦东新区,3-4万/月,10-29
Python开发工程师,上海网域网络科技有限公司,上海-徐汇区,1-1.5万/月,10-29
Python 讲师,北京一天天教育科技有限公司,上海-浦东新区,1500元/天,10-29
底薪5K少儿编程教师Java/python,湖南好小子机器人科技有限公司,长沙-芙蓉区,6-8千/月,10-29
Python web开发工程师,广州市擎天柱网络科技有限公司,广州,1.5-2.5万/月,10-29
Python爬虫开发工程师,北京敏捷艾科数据技术有限公司,北京-朝阳区,0.6-1万/月,10-29
Python工程师/数据工程师,康美中药材数据信息服务有限公司,深圳-福田区,1.5-3万/月,10-30
Python开发工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1.5-2万/月,10-29
Python工程师,中讯志远（武汉）科技有限公司,北京-朝阳区,1-1.5万/月,10-29
python开发,苏州云坤信息科技有限公司,苏州,0.8-1.5万/月,10-29
Python开发工程师（odoo）,深圳市有芯电子有限公司,深圳,1.5-2.5万/月,10-29
Python开发工程师,四川明达集团实业有限公司,成都,0.6-1.2万/月,10-29
Python主管工程师,上海多拿服饰有限公司,上海-浦东新区,1.2-1.8万/月,10-29
Python开发工程师,万影技术（深圳）有限公司,深圳-南山区,1.5-2万/月,10-29
Python开发工程师,深圳通达天下国际旅行社有限公司,深圳-罗湖区,1-1.5万/月,10-29
Python开发工程师,苏州中德宏泰电子科技股份有限公司,昆山,0.8-1万/月,10-29
python后端工程师,台州汇聚信息科技有限公司,台州,1-2.5万/月,10-29
Python高级开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-徐汇区,0.6-3万/月,10-29
Python/Ruby软件开发工程师,青岛青软科技有限公司,青岛-市南区,4-7千/月,10-29
Python开发工程师(中科实数）,广州中国科学院软件应用技术研究所,广州-南沙区,0.8-1.6万/月,10-29
Python开发工程师,奥奈斯特（宁波）软件技术有限公司,宁波,5-8千/月,10-29
Python开发工程师,杭州阳晶电子商务有限公司,杭州-滨江区,4.5-7.5千/月,10-29
Python开发工程师,深圳前海中移华捷投资管理有限公司,深圳-福田区,1-1.5万/月,10-29
开发工程师（python方向）,湖南高阳通联信息技术有限公司,长沙-天心区,6-8千/月,10-29
Python高级开发工程师,广州回头车信息科技有限公司,广州-天河区,1.5-2.2万/月,10-29
25923-python后台开发工程师（深圳/上海）,深圳市腾讯计算机系统有限公司,深圳,,10-29
系统运维、编程、Python工程师,浙江省人才市场,异地招聘,40-50万/年,10-29
PHP、Java、Python后台开发工程师,金马节能科技（深圳）有限公司,深圳-南山区,1-2万/月,10-29
Python开发工程师,全美测评软件系统（北京）有限公司,上海-浦东新区,1-1.5万/月,10-29
Python开发工程师,成都惠网远航科技有限公司,成都-高新区,0.9-1.2万/月,10-28
高级Python高级开发工程师,上海易宝软件有限公司深圳分公司,成都-郫都区,1-1.5万/月,10-28
Python高级开发工程师（后端）,深圳兴导科技有限公司,长沙-开福区,0.9-1.4万/月,10-28
急招Python工程师,广州启法信息科技有限公司,广州-天河区,0.6-1.2万/月,10-28
Python爬虫工程师,福韵数据服务有限公司,长沙-雨花区,0.8-1万/月,10-28
Python工程师,苏州深析智能科技有限公司天津分公司,天津-静海区,1-2万/月,10-28
Python开发工程师,珠海金山软件股份有限公司,珠海,1.3-2.5万/月,10-28
python开发工程师,上海擎云物联网股份有限公司,上海-闵行区,6-8千/月,10-28
Python/Odoo开发工程师,上海美问信息科技有限公司,上海,0.6-1.6万/月,10-28
Python后端工程师,树根互联技术有限公司,北京,,10-28
python开发工程师,北京航空航天大学苏州创新研究院,苏州-高新区,1-2万/月,10-28
Python开发工程师,重庆熠巨数字传媒有限公司,重庆,1-1.5万/月,10-28
Python开发工程师,上海澜思信息科技有限公司,上海-静安区,1-2万/月,10-28
Python开发工程师,上海速强信息技术股份有限公司,深圳,1-1.5万/月,10-28
Python开发工程师（SaaS云端开发）,上海合阔信息技术有限公司,上海,1.2-2.4万/月,10-28
python高级工程师,深圳华智共创教育科技有限公司成都...,成都-高新区,1-1.5万/月,10-28
python开发工程师（西安）,中电长城网际系统应用有限公司,西安-经济技术...,0.8-1万/月,10-28
中高级Python开发工程师,北京优炫软件股份有限公司,成都,0.8-1.4万/月,10-28
Python后台工程师,深圳海链科技有限公司,深圳-南山区,1.4-2.5万/月,10-28
Python研发工程师,深圳市前海汇流信息科技有限公司,深圳-南山区,1-2万/月,10-28
高级Python工程师,赛伊诺思（上海）管理咨询有限公司,上海,20-40万/年,10-27
Python开发工程师,天津创思客科技有限公司,天津-滨海新区,0.8-1万/月,10-27
Python讲师,武汉科思沃斯教育科技有限公司,武汉,0.8-1万/月,10-27
python讲师,重庆寅冠州教育科技有限公司,重庆-江北区,0.6-1.2万/月,10-27
Python开发工程师,昆明花易宝科技有限公司,昆明-呈贡区,0.5-1万/月,10-27
Python高级开发工程师,深圳市华馨智能科技有限公司,深圳-龙华新区,1.8-3万/月,10-27
Python后端开发工程师,深圳先知大数据有限公司,东莞-东城区,0.8-1.5万/月,10-27
Python开发工程师,武汉联合创想科技有限公司,武汉-江夏区,0.8-1万/月,10-27
Python开发工程师,新蛋科技（成都）有限公司,成都-高新区,1-1.5万/月,10-27
Python开发工程师,肇庆市博纳信网络科技有限公司,异地招聘,0.4-1.2万/月,10-27
Python爬虫工程师,上海讯实网络科技有限公司,南京,1-1.5万/月,10-27
Python开发工程师,佛山市创商汇电子商务有限公司,广州-海珠区,0.5-1.5万/月,10-27
Python开发工程师,深圳市易贝通科技有限公司,深圳-龙岗区,0.8-1.5万/月,10-27
python/go软件工程师,上海秀可得企业管理咨询有限公司,杭州-西湖区,2-4.5万/月,10-27
python高级讲师,上海奉贤区八维宏烨培训学校,上海-奉贤区,1.5-2万/月,10-27
python程序员（监控软件部）,湖南大唐先一科技有限公司,长沙,6-8千/月,10-27
python开发,苏州意能通信息技术有限公司,苏州-工业园区,0.6-1万/月,10-27
Python初级开发工程师,上海缔塔科技有限公司,上海-浦东新区,0.8-1.2万/月,10-27
Python开发工程师,上海智尧信息科技有限公司,上海-闵行区,1-1.5万/月,10-27
Python开发工程师,江苏天鼎证券投资咨询有限公司,南京-建邺区,1-1.5万/月,10-27
Python爬虫高级,北京天广汇通科技有限公司成都分公司,成都,1.5-2.5万/月,10-27
Python开发助理+双休,陕西众信超达科技有限公司,西安-碑林区,4.5-6千/月,10-27
Python开发工程师,深圳市纽创信安科技开发有限公司,深圳-南山区,1-2万/月,10-27
Python高级开发工程师,华存数据信息技术有限公司,上海,1.5-2万/月,10-27
Python自动化脚本开发工程师,上海时溪信息技术有限公司,上海-浦东新区,1-1.5万/月,10-27
直聘软件开发Golang /Python,某外资上市人力资源公司,北京-朝阳区,1.5-2万/月,10-26
Python架构师,北京汉迪移动互联网科技股份有限公司,北京-海淀区,3.5-6万/月,10-26
Python项目经理（五险一金+上市公司）,达内软件技术（杭州）有限公司,杭州-江干区,0.8-1万/月,10-26
Python开发工程师,星辉游戏,广州-天河区,1-1.5万/月,10-26
Python开发工程师,杭州昇星网络科技有限公司,杭州,150元/天,10-26
python研发工程师,上海凯京信达科技集团有限公司,上海-浦东新区,0.8-1万/月,10-26
Python 开发工作,上海领旗信息科技有限公司,上海-浦东新区,1-1.5万/月,10-26
Python工程师,东软教育科技（大连）有限公司,大连-高新园区,0.8-1.5万/月,10-26
Python后端工程师,南京四象新能源科技有限公司,南京-江宁区,1-2万/月,10-26
高级python开发工程师,上海齐家网信息科技股份有限公司,上海,1.5-3万/月,10-26
Python软件工程师,浙江闪龙科技有限公司,嘉兴,5-8千/月,10-26
python开发,广州原力互娱网络科技有限公司,广州,1.5-2万/月,10-26
Python开发工程师,深圳市爱智慧科技有限公司,异地招聘,1-1.9万/月,10-26
高级Python开发工程师,北京国双科技有限公司,北京,1.5-2万/月,10-26
Python开发工程师,苏州派维斯信息科技有限公司,苏州-高新区,5-8千/月,10-26
Python开发工程师,珠海市喜雀科技有限公司,珠海-珠海高新区,5-7千/月,10-26
Python开发工程师,世纪恒通科技股份有限公司,重庆-渝北区,0.4-1万/月,10-26
python自动化测试（编号05）,上海复深蓝软件股份有限公司,无锡,0.8-1.2万/月,10-30
python开发工程师,华扬联众数字技术股份有限公司,上海,1-1.5万/月,10-26
美资银行Java/Python后端开发,万宝盛华企业管理咨询（上海）有限...,杭州-西湖区,1-1.5万/月,10-26
后台开发工程师（Python/C++）,上海清鹤科技股份有限公司,北京-昌平区,1.2-2万/月,10-26
Python后端开发工程师 （情报中心）,华南智能机器人创新研究院,佛山,0.5-1万/月,10-26
Python算法工程师,四川星盾科技股份有限公司,成都-高新区,0.7-1.5万/月,10-26
python爬虫工程师,成都智库二八六一信息技术有限公司,成都-高新区,1-2万/月,10-26
"数据分析师（python,数据库）",苏州智优伯讯信息科技有限公司,苏州,1-1.5万/月,10-26
Python爬虫工程师,杭州书沸科技有限公司,杭州-西湖区,1.2-2.4万/月,10-26
Python开发工程师,武汉市瑞思信息技术有限公司,武汉-洪山区,4-8千/月,10-26
Python  编程讲师实习 （上市外企+双休五险一金）,童程童美济南分公司,济南-市中区,6-8千/月,10-26
python开发工程师,杭州壹网壹创科技股份有限公司,杭州-江干区,0.8-1.2万/月,10-26
Python高级开发工程师,达观数据,成都,1.8-3.6万/月,10-26
Python开发工程师,云南创至互达网络科技有限公司,昆明-五华区,0.6-1万/月,10-26
Python开发工程师,珠海卡菲信息技术有限公司,珠海-香洲区,0.6-1.2万/月,10-26
业务与数据分析师实习生（python工程师方向）,杭州览众数据科技有限公司,杭州-滨江区,2-3千/月,10-26
急聘python开发工程师实习生,大连域维信息技术有限公司,大连-沙河口区,4-6千/月,10-26
Python开发工程师,北京健易保科技有限公司,北京-海淀区,1.5-2万/月,10-26
急聘python开发工程师实习生,大连中软卓越信息技术有限公司,大连,4-6千/月,10-26
Python开发工程师,大连众卓云科技服务有限公司,大连,3.8-4.2千/月,10-26
python讲师,北大青鸟武汉宏鹏（鲁广南校区）,武汉-洪山区,8-25万/年,10-26
资深python工程师,武汉古奥基因科技有限公司,武汉-洪山区,0.9-1.7万/月,10-26
Python工程师,上海大岂网络科技有限公司,上海-徐汇区,1-2万/月,10-26
Python开发（外包-咪咕文化）,网思科技股份有限公司,成都-高新区,0.8-1.5万/月,10-26
Python 后台工程师,升宝节能技术（上海）有限公司,上海-浦东新区,0.7-1.2万/月,10-26
Python开发工程师,南京邦众电子商务有限公司,南京-浦口区,8-10万/年,10-26
高级python服务端开发工程师,广州富港万嘉智能科技有限公司,广州-天河区,1-1.5万/月,10-26
Python开发实习（接受零基础）+转行,河南脉友会创业孵化器有限公司,郑州,0.8-1万/月,10-26
Python开发工程师,杭州顺网科技股份有限公司,成都-高新区,1-2万/月,10-26
高级Python开发工程师,大连展锋人力资源开发有限公司,大连,1.2-1.6万/月,10-26
高级Python爬虫工程师,深圳人人库供应链有限公司,深圳-南山区,1-2万/月,10-26
python开发工程师,深圳冰凌信息科技有限公司,广州-黄埔区,1-1.5万/月,10-26
Python开发工程师,鸿播（上海）投资管理有限公司,上海-黄浦区,1.5-2万/月,10-26
Python开发工程师,上海青之桐投资管理有限公司,上海,1-1.5万/月,10-26
Python讲师,北京书和翰林教育科技有限公司,北京-延庆区,0.8-2万/月,10-26
Python开发工程师（参与公司内部开发或外派外企开发）,雷技信息科技（上海）有限公司,上海-浦东新区,1.5-2万/月,10-26
Python系统运维开发工程师,云星数据（深圳）有限公司,北京-朝阳区,2-3万/月,10-26
Python 开发工程师,哈工大大数据产业有限公司,成都-武侯区,0.8-2万/月,10-26
Python开发工程师,合肥葵申贸易有限公司,合肥-高新区,4.5-6千/月,10-26
Python讲师,北京千锋互联科技有限公司杭州分公司,杭州-江干区,2-4万/月,10-26
Python开发工程师,云南微加经济信息咨询有限公司,昆明,6-8千/月,10-26
Python软件工程师,博坤机电（苏州）有限公司,苏州-高新区,1-1.5万/月,10-26
Python开发工程师,西安唐远信息科技有限公司,西安-曲江文化...,0.5-1万/月,10-26
Python开发工程师,武汉派生科技有限公司,武汉-江夏区,0.7-1.5万/月,10-26
双体系Python技术教师,重庆邮电大学移通学院,重庆-合川区,1-1.3万/月,10-26
Python实施开发工程师,上海艺赛旗软件股份有限公司,广州,5-6千/月,10-26
Python开发工程师（应届生）,宝付网络科技（上海）有限公司,上海-浦东新区,1.5-2万/月,10-26
Python高级开发工程师,北京伯众联合管理咨询有限公司,北京-朝阳区,2-3.5万/月,10-26
Python开发工程师,纬创软件（北京）有限公司,北京-朝阳区,1.2-1.8万/月,10-26
Python开发工程师,环旭电子股份有限公司,上海-浦东新区,1-1.8万/月,10-26
Python开发工程师(实习),杭州勤鼎科技有限公司,杭州-滨江区,3.5-4.2千/月,10-26
Python开发工程师,北京下厨房科技有限公司,北京-海淀区,1-2万/月,10-26
Python开发工程师,杭州肯利网络科技有限公司,杭州-余杭区,0.6-1万/月,10-26
Python开发工程师,北京华软金科信息技术有限公司,西安,1-1.5万/月,10-25
python开发工程师,中盈优创资讯科技有限公司南京分公司,南京-建邺区,0.6-1.5万/月,10-25
少儿编程讲师（Python）,广州睿见科技有限公司,广州-黄埔区,6-8千/月,10-25
Python开发工程师,中科博宏（北京）科技有限公司,北京-朝阳区,1.5-3万/月,10-25
Python 开发工程师,深圳市博奥特科技有限公司,深圳-福田区,1-1.5万/月,10-25
Python开发工程师,北京朗镜科技有限责任公司,北京-朝阳区,2-2.5万/月,10-25
Python研发工程师-西安-00693,卫宁健康科技集团股份有限公司,西安-高新技术...,1-1.4万/月,10-25
生物信息工程师（python）,上海伯豪生物技术有限公司,上海-浦东新区,0.8-1.5万/月,10-25
Python高级开发工程师,久和新科技（深圳）有限公司,深圳-南山区,1-2万/月,10-25
Python讲师,武汉弘博职业培训学校,武汉-洪山区,6-8千/月,10-25
Python程序开发工程师,上海美哒来医疗科技有限公司,沈阳-和平区,0.6-1万/月,10-25
Python开发工程师,北京伟鹏华盈电子有限公司,苏州-工业园区,6-8千/月,10-25
Python开发工程师,南京中孚信息技术有限公司,南京-浦口区,0.7-1.5万/月,10-25
Python爬虫工程师,扬伦信息咨询(上海)有限公司,上海-静安区,0.7-1.5万/月,10-25
中级程序员（Python）,北京麦圃国际咨询顾问有限公司,北京-朝阳区,0.8-1.3万/月,10-25
Python开发工程师,中山市艾里斯传媒有限公司,中山,1.2-2万/月,10-25
python开发工程师(NO.集成1821),北京南天软件有限公司,北京,0.7-1.3万/月,10-25
Python培训讲师,北京中公教育科技股份有限公司,北京,1-2万/月,10-25
Python 工程师,广州玄泰信息科技股份有限公司,广州-天河区,0.9-1.3万/月,10-25
Python开发工程师,济南时代智囊网络技术有限公司,异地招聘,0.8-1万/月,10-25
Python高级开发师,上海众言网络科技有限公司,苏州,1.2-2.4万/月,10-25
高级开发工程师（python爬虫）,上海宝尊电子商务有限公司,上海-静安区,1.4-2.6万/月,10-25
Python开发工程师,拓攻（南京）机器人有限公司,南京,0.8-1.5万/月,10-25
Python开发工程师,北京缔联科技有限公司,北京-海淀区,1-1.5万/月,10-25
Python教学+上市公司+五险一金,达内科技集团广西大学生实训基地,南宁,0.8-1万/月,10-25
Python数据分析师,北京卓思天成数据咨询股份有限公司,北京-朝阳区,1.5-2.5万/月,10-25
python测试开发工程师（应届生、实习）,合肥高维数据技术有限公司,合肥-高新区,2.5-4.5千/月,10-25
python 实习生,山东蓝瑞电子信息技术有限公司,济南,3-3千/月,10-25
Python开发工程师,深圳融天云科软件技术有限公司,深圳-福田区,1-1.5万/月,10-25
Python开发工程师,中通服软件科技有限公司,成都-高新区,1.5-2万/月,10-25
Python高级开发工程师,上海彩亿信息技术有限公司,上海-徐汇区,1.2-2.4万/月,10-25
python专职高级讲师,东方瑞通（天津）IT培训与服务中心,天津-南开区,0.8-1.5万/月,10-25
Python高级开发工程师,深圳市无极云互联网技术开发有限公司,深圳,2-3万/月,10-25
Python开发工程师,北京初志科技有限公司,北京-海淀区,1-3.2万/月,10-25
Python 高级后台工程师,爱客科技（深圳）有限公司,深圳-南山区,1.5-3万/月,10-25
python开发工程师-成都-00338,成都数字天空科技有限公司,成都,1-2万/月,10-25
Python高级开发工程师,脉宁信息科技（上海）有限公司,上海-静安区,1-2万/月,10-25
Python开发工程师,上海量锐信息科技有限公司,上海-黄浦区,1.2-1.8万/月,10-25
python实施开发人员,广东菲立智能家居有限公司,广州-增城,1.5-2万/月,10-25
python后台开发工程师,深圳市云趣网络科技股份有限公司,深圳-南山区,1-1.5万/月,10-25
Python Engineer,北京乐至道科技有限公司,北京-海淀区,1.8-3.5万/月,10-25
Python高级开发工程师,美国道富,杭州,1.5-2万/月,10-25
嵌入式开发测试（物联网）-shell、Python,迪原创新（北京）科技有限公司,北京,0.8-1.2万/月,10-25
Python开发工程师,深圳启航创富互联网金融服务有限公司,深圳-南山区,0.8-1.5万/月,10-25
Python软件工程师,浙江乐檬信息技术有限公司,宁波,0.8-1.2万/月,10-25
Python开发工程师,深圳市雁联技术服务有限公司,深圳-福田区,1-1.5万/月,10-25
月薪20-30K+Python讲师-上海,上海岳城教育科技有限公司,上海-长宁区,2-3万/月,10-25
python游戏后端开发,北京阳阳丽康商贸有限公司,北京-朝阳区,1.5-2万/月,10-25
python讲师+六险一金,西安中软卓越信息技术有限公司,西安-碑林区,0.8-1万/月,10-25
Python运维开发工程师,福州靠谱云科技有限公司,福州,0.5-1万/月,10-25
Python开发工程师,合肥彼岸互联信息技术有限公司（小...,合肥-政务区,0.7-1.5万/月,10-25
Python 工程师,深圳前海壹互联科技投资有限公司,深圳-南山区,1-1.5万/月,10-25
Python开发工程师,南京第三极区块链科技有限公司,南京-鼓楼区,1-1.5万/月,10-25
高级Python软件工程师,苏州锐讯生物科技有限公司,苏州-工业园区,1-2万/月,10-25
Python软件开发工程师,东莞市科英泰电气技术有限公司,东莞,0.8-1.5万/月,10-25
Python全栈工程师,杭州衡泰软件有限公司,杭州,1-1.5万/月,10-25
Python开发工程师,和美（深圳）信息技术股份有限公司,深圳-南山区,1.5-2万/月,10-25
Python高级DevOps工程师,深圳市泽林软件技术有限公司,深圳-南山区,1.5-2.5万/月,10-25
Python爬虫工程师,赛业（广州）生物科技有限公司,广州,6-8千/月,10-25
Python Developer,NTT DATA（中国）有限公司,上海-黄浦区,1-1.5万/月,10-24
Python助教,达内时代教育集团成都分公司,成都-高新区,0.6-1.2万/月,10-24
Python工程师,即科金融信息服务（上海）有限公司,上海-杨浦区,1.5-2万/月,10-24
python web工程师,广州赛哲生物科技股份有限公司,广州-海珠区,0.8-1万/月,10-24
Python开发工程师,上海驻云信息科技有限公司,上海-浦东新区,1.2-1.8万/月,10-24
Python开发,武汉软帝联合科技有限公司,武汉-江夏区,0.8-1.2万/月,10-24
Python开发工程师,金恪投资控股股份有限公司,上海-浦东新区,1.2-2.5万/月,10-24
python平台开发工程师,上海巨人网络科技有限公司,上海-松江区,1.5-2.5万/月,10-24
Python开发工程师,华大基因,武汉,0.8-1.2万/月,10-24
YJ-Python后台开发工程师,东莞松山湖国际机器人研究院有限公司,东莞-松山湖区,1.1-1.6万/月,10-24
Python/Golang高级开发工程师,陕西巨子生物技术有限公司,西安,0.6-1.2万/月,10-24
Python开发工程师,深圳市沃享科技有限公司,深圳-南山区,1-2万/月,10-24
实习生(前端&Python&Java&ASP.NET),广州云岫信息科技有限公司,广州-天河区,3-5千/月,10-24
Python开发工程师,广州市鼎源信息技术有限公司,异地招聘,0.8-1万/月,10-24
Python中级开发工程师,网根（南京）网络中心有限公司,南京-浦口区,1.2-1.8万/月,10-24
测试开发工程师（Python语言）,郑州易宝软件科技有限公司,成都-郫都区,0.8-1.3万/月,10-24
Python 数据分析/人工智能讲师,北京网络职业学院,北京-房山区,1.8-2.5万/月,10-24
Python+MySQL 后台开发工程师,富士康科技集团CNSBG事业群,深圳-龙华新区,0.6-2万/月,10-24
Python开发工程师,波罗蜜 全球购,上海-普陀区,1.5-2万/月,10-24
高级软件工程师（Python开发）,上海博笃软件有限公司,上海,1-1.5万/月,10-24
Python开发工程师,慧影医疗科技（北京）有限公司,北京-海淀区,1.5-2万/月,10-24
Python开发工程师(量化方向，可接受实习生),浙江杭实善成实业有限公司,杭州-上城区,1-2万/月,10-24
Python软件开发工程师,深信服科技股份有限公司,深圳-南山区,1-2万/月,10-24
python全栈开发工程师,大唐奇安网络科技有限公司,北京-朝阳区,1-2万/月,10-24
初级开发工程师(Python),广州云杼服装科技有限公司,广州-海珠区,0.8-1.2万/月,10-24
Python高级开发工程师,武汉幻视智能科技有限公司,武汉-洪山区,1-2万/月,10-24
Python高级开发工程师,小水滴科技,上海-浦东新区,2-3万/月,10-24
高级Python爬虫工程师,上海盈讯科技股份有限公司,上海-杨浦区,1.2-2.4万/月,10-24
云方向-python开发工程师,北京思特奇信息技术股份有限公司陕...,西安-高新技术...,0.6-1万/月,10-24
云方向业务部门_Python开发工程师,北京思特奇信息技术股份有限公司,北京-海淀区,1-1.5万/月,10-24
Python开发工程师,笨鸟社交,厦门,0.8-1.5万/月,10-24
Python研发工程师,上海诚信互通网络信息科技有限公司,北京-海淀区,2-3万/月,10-24
Python开发工程师,合肥易联翻译服务有限公司,厦门,1-2万/月,10-24
Python开发工程师,武汉中科图灵科技有限公司,武汉,0.7-1万/月,10-24
python工程师,大连中控智慧信息技术有限公司,大连,0.8-1万/月,10-24
Python开发工程师,云南延烨信息技术有限公司,昆明-盘龙区,0.5-1万/月,10-24
Python开发工程师,北京源晨动力技术服务有限公司,深圳,0.8-1万/月,10-23
Python开发工程师,深圳前海移联科技有限公司,深圳-南山区,1-1.5万/月,10-23
Python开发工程师,上海举佳爽网络科技有限公司,重庆-南岸区,0.6-1万/月,10-23
Python/Odoo高级开发工程师,上海企通软件有限公司,上海,1.5-2万/月,10-23
Python开发工程师,狐狸金服（北京）信息技术咨询有限...,北京-海淀区,1.5-2.5万/月,10-23
Python开发工程师,北京新大陆时代教育科技有限公司,福州,6-8千/月,10-23
Python开发工程师,腾云互联（浙江）科技有限公司,宁波,0.8-1万/月,10-23
Python开发工程师,广州优亿信息科技有限公司,广州,4.5-6千/月,10-23
Python高级开发工程师,上海颀讯智能科技有限公司,上海-静安区,1.5-2万/月,10-23
Python工程师,深圳前海橙色魔方信息技术有限公司,南京-雨花台区,0.8-1.4万/月,10-23
python工程师岗,上海竹米网络科技有限公司,上海-浦东新区,1.5-3万/月,10-23
高级Python开发工程师,万科集团物业事业本部,深圳-福田区,2-3.5万/月,10-23
Python开发工程师,上海英方软件股份有限公司,杭州,0.8-1.5万/月,10-23
Python研发工程师,北京琳云信息科技有限责任公司,北京-东城区,2-3万/月,10-23
Python高级开发工程师,广州五舟科技股份有限公司,广州,1-1.5万/月,10-23
Python高级研发工程师,VeryCloud,南通,0.8-1万/月,10-23
高级python开始工程师,伯图大数据管理有限公司,徐州,1-2万/月,10-23
Python开发工程师,深圳市天彦通信股份有限公司,异地招聘,1-1.5万/月,10-23
Python开发工程师,苏州数言信息技术有限公司,苏州-相城区,1-1.5万/月,10-23
Python开发工程师,上海派拉软件股份有限公司,上海-浦东新区,1-1.5万/月,10-23
高级开发工程师（C++或Python）,深圳证券通信有限公司,深圳-南山区,1-1.5万/月,10-23
Python 老师 STEM K12 编程,上海闻曦信息科技有限公司,上海-嘉定区,6-9千/月,10-23
Python开发工程师,广州国机智能电力科技有限公司,广州-黄埔区,0.9-1.5万/月,10-23
Python web开发,成都网安科技发展有限公司,成都,1-1.2万/月,10-23
Python高级开发工程师,河南省煤田地质局物探测量队,郑州,0.8-1万/月,10-23
Java/Python/RPA 开发工程师,荟才环球企业咨询（北京）有限公司,广州,0.8-1.5万/月,10-23
Python工程师,上海曈皓信息科技有限公司,上海-普陀区,6-8千/月,10-23
Python开发工程师,深圳前海橙色魔方信息技术有限公司,杭州-滨江区,1.5-2万/月,10-23
Python高级开发工程师,安徽首猎者信息咨询服务有限公司,合肥-高新区,2-2.5万/月,10-23
Python开发工程师,上海威志信息科技有限公司,上海-浦东新区,1.5-2万/月,10-23
Python开发工程师,唯晶科技（Winking Entertainment）,上海,1-1.5万/月,10-23
IT培训讲师（Python）,北京中公教育科技股份有限公司,西安-新城区,1-1.5万/月,10-23
Python开发工程师,南京富士通南大软件技术有限公司,南京,10-15万/年,10-23
Python开发工程师,江西省博汇九洲金融服务有限公司,南昌-红谷滩新区,6-8千/月,10-23
Python软件开发工程师,北京筑梦园科技有限公司沈阳分公司,沈阳-浑南区,0.5-1万/月,10-23
Python中级工程师,安徽指南针科创园发展有限公司,异地招聘,0.7-1.2万/月,10-23
java\python高薪授课讲师,达内软件技术（杭州）有限公司,合肥-蜀山区,0.8-1.3万/月,10-23
Python开发工程师,上海有大信息科技有限公司,上海-黄浦区,1-1.5万/月,10-23
Python高级开发工程师,广州市华誉电脑系统有限公司,广州-白云区,5-7千/月,10-23
云平台开发工程师（JAVA、Python）,航天星图科技（北京）有限公司,北京-顺义区,1.5-3万/月,10-23
Python工程师,深圳先健互联网金融医疗有限公司,深圳-南山区,1.3-2.5万/月,10-22
业务运维工程师（python）,深圳市耀京科技有限公司,深圳-南山区,0.9-1.4万/月,10-22
Python开发工程师,武汉虹旭信息技术有限责任公司,武汉-江夏区,0.6-1.2万/月,10-22
python 爬虫工程师,广州智伴人工智能科技有限公司,深圳-南山区,1-1.6万/月,10-22
Python高级开发工程师,网信集团有限公司,成都,1.5-2万/月,10-22
Python软件工程师,深圳市希科普股份有限公司,深圳-南山区,1-1.5万/月,10-22
Python高级开发工程师,壤歌市场策划有限公司,上海-徐汇区,1-2万/月,10-22
Python开发工程师,郑州可瑞为信息技术有限公司,东莞-松山湖区,1-3万/月,10-22
Python开发工程师,东莞币比科贸易有限公司,东莞-常平镇,6-8千/月,10-22
Python软件工程师,沈阳民航东北凯亚有限公司大连分公司,北京-东城区,0.8-1.2万/月,10-22
Python/Go运维软件工程师,苏州博远容天信息科技股份有限公司,北京-海淀区,0.5-1.5万/月,10-22
Python开发工程师,福建紫讯信息科技有限公司,福州-鼓楼区,4-6千/月,10-22
Python Web工程师(001956),成都中科创达软件有限公司,成都-高新区,6-8千/月,10-22
Python高级开发工程师,昆山欧技华波精密电子有限公司,昆山,1.5-2万/月,10-22
引擎(实习生）Python（工控）,杭州安恒信息技术有限公司,杭州,2-4千/月,10-22
服务器后端开发工程师（C++/Python）,哈尔滨安天科技集团股份有限公司,哈尔滨-松北区,0.5-1万/月,10-22
Python开发工程师,北京第三石信息技术有限公司,北京-朝阳区,1.5-3万/月,10-22
Python开发工程师,成都哈希龙科技合伙企业（有限合伙）,成都-高新区,0.7-1.5万/月,10-22
Python资深工程师,上海辰沅金融信息服务有限公司,上海-浦东新区,1.5-3万/月,10-22
Python开发工程师,广东分子资产管理股份有限公司,广州-天河区,1-1.5万/月,10-22
Python高级开发工程师,圆通速递有限公司,杭州-余杭区,1.8-3.5万/月,10-22
python软件工程师,北京经纬恒润科技有限公司,北京-海淀区,1-1.5万/月,10-22
C++/python/java开发工程师,国动物联网技术（上海）有限公司,上海,1.2-2.5万/月,10-22
（python）游戏服务器开发工程师,上海扬讯计算机科技有限责任公司,武汉,0.5-1万/月,10-22
Python爬虫工程师,南京安讯科技有限责任公司,南京,1-1.5万/月,10-22
python工程师,重庆江小白酒业有限公司,重庆-渝北区,0.7-1.1万/月,10-22
教育服务事业部-研发部（python方向）,新华文轩出版传媒股份有限公司,成都-金牛区,0.6-1万/月,10-22
Python软件开发工程师,威廉欧奈尔信息科技（上海）有限公司,上海-浦东新区,0.8-1.5万/月,10-22
Python开发工程师,重庆新致金服信息技术有限公司,重庆-渝北区,0.6-1.2万/月,10-22
python 开发工程师,广州时时美电子商务有限公司,广州-荔湾区,0.6-1.2万/月,10-22
